Symbol,Sector,Momentum_1W_Percent,Momentum_1M_Percent,Start_Price_1W,End_Price_1W,Start_Price_1M,End_Price_1M
AXISBANK,Banking,,,,,,
HDFCBANK,Banking,,,,,,
ICICIBANK,Banking,,,,,,
INDUSINDBK,Banking,,,,,,
KOTAKBANK,Banking,,,,,,
SBIN,Banking,,,,,,
BAJFINANCE,Financial Services,,,,,,
BAJAJFINSV,Financial Services,,,,,,
HDFCLIFE,Financial Services,,,,,,
SBILIFE,Financial Services,,,,,,
INFY,IT Services,,,,,,
TCS,IT Services,,,,,,
TECHM,IT Services,,,,,,
HCLTECH,IT Services,,,,,,
WIPRO,IT Services,,,,,,
RELIANCE,Oil & Gas,,,,,,
ONGC,Oil & Gas,,,,,,
BPCL,Oil & Gas,,,,,,
TATASTEEL,Metals & Mining,,,,,,
JSWSTEEL,Metals & Mining,,,,,,
HINDALCO,Metals & Mining,,,,,,
COALINDIA,Metals & Mining,,,,,,
MARUTI,Automotive,,,,,,
BAJAJ-AUTO,Automotive,,,,,,
M&M,Automotive,,,,,,
HEROMOTOCO,Automotive,,,,,,
EICHERMOT,Automotive,,,,,,
SUNPHARMA,Pharmaceuticals,,,,,,
DRREDDY,Pharmaceuticals,,,,,,
CIPLA,Pharmaceuticals,,,,,,
DIVISLAB,Pharmaceuticals,,,,,,
HINDUNILVR,FMCG,,,,,,
BRITANNIA,FMCG,,,,,,
NESTLEIND,FMCG,,,,,,
ITC,FMCG,,,,,,
TATACONSUM,FMCG,,,,,,
BHARTIARTL,Telecom,,,,,,
NTPC,Power,,,,,,
POWERGRID,Power,,,,,,
ULTRACEMCO,Cement,,,,,,
GRASIM,Cement,,,,,,
LT,Infrastructure,,,,,,
ASIANPAINT,Paints,,,,,,
UPL,Chemicals,,,,,,
TITAN,Consumer Goods,,,,,,
ADANIPORTS,Logistics,,,,,,
